salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
0.464,1.7,0.5,2.8,9.7,5.0,healthy
1.2,0.07,4.1,1.1,12.0,0.0,healthy
0.0,6.0,0.0,0.0,0.0,2.0,unhealthy
2.0,3.0,1.0,2.0,1.0,0.0,unhealthy
1.3,33.0,1.9,9.6,35.0,4.0,healthy
0.86283185,3.539823,2.6548672,0.0,11.504425,0.0,healthy
0.1,1.7,8.9,6.4,35.0,0.0,healthy
1.71,8.77,0.0,7.0,7.02,0.0,healthy
2.46,15.4,0.0,3.16,9.23,0.0,healthy
0.08,0.45,0.57,76.8,0.69,1.0,healthy
0.9,33.0,13.0,3.3,7.0,3.0,healthy
0.9,0.2,0.2,0.3,79.0,1.0,healthy
0.73,35.0,17.0,2.8,6.6,4.0,moderate
0.68,29.0,15.0,3.2,6.0,4.0,moderate
0.05,0.5,6.9,28.7,28.1,0.0,healthy
1.71,8.57,1.43,14.3,57.1,1.0,healthy
0.387,8.45,0.0,7.04,14.1,1.0,healthy
1.2,34.0,1.6,1.5,51.0,3.0,healthy
1.09,0.0,0.0,18.8,50.0,0.0,healthy
1.9,9.4,2.0,20.0,39.0,8.0,healthy
0.08,13.79,2.69,39.58,16.53,0.0,moderate
1.43,0.4,0.4,1.1,23.3,0.0,healthy
0.28,18.2,8.31,1.97,3.69,0.0,moderate
0.19,0.0,1.7,0.0,21.0,0.0,healthy
19.6,101.0,38.0,10.0,124.0,0.0,moderate
0.28,45.0,1.8,1.4,4.6,6.0,unhealthy
0.83,15.0,0.9,15.0,48.0,7.0,healthy
0.0,49.0,9.6,1.5,5.4,4.0,unhealthy
0.508,7.0,2.4,1.1,2.2,4.0,unhealthy
0.09,16.0,1.4,7.3,10.0,0.0,healthy
0.5588,25.0,4.5,5.0,28.0,4.0,healthy
11.3,10.0,0.9,3.2,12.0,0.0,healthy
1.35,0.0,0.0,1.92,7.69,0.0,healthy
0.3,4.0,6.8,8.5,25.7,0.0,healthy
0.3,4.0,6.8,8.5,25.7,0.0,healthy
0.3,4.0,6.8,8.5,25.7,0.0,healthy
0.0,3.8,6.5,7.0,21.7,0.0,healthy
0.3,5.0,8.8,3.8,21.0,0.0,healthy
0.3,0.0,4.9,8.5,25.9,0.0,moderate
0.0,5.0,4.9,9.0,14.0,0.0,healthy
0.3,1.9,7.0,8.9,22.3,0.0,moderate
0.3,2.6,4.5,9.0,20.7,0.0,healthy
0.0,3.8,4.9,7.0,21.7,0.0,healthy
0.0,5.9,7.8,3.3,18.1,0.0,healthy
0.0,3.0,8.5,9.6,8.5,0.0,moderate
0.62,2.6,2.4,6.4,6.6,4.0,moderate
0.67,0.4,2.5,6.5,6.4,4.0,moderate
1.08,2.92,1.67,4.17,7.08,2.0,healthy
1.38,3.41,1.935,5.234999999999999,6.74,3.5,healthy
1.38,3.41,1.935,5.234999999999999,6.74,3.5,healthy
1.68,3.9,2.2,6.3,6.4,5.0,healthy
2.85714279328074,46.4285714285714,6.42857125827244,4.28571445601327,8.57142891202654,0.0,unhealthy
0.4,1.0,0.7,1.5,88.0,1.0,healthy
44.6,21.4,0.0,10.7,8.93,1.0,healthy
0.517,0.0,13.1,13.1,9.66,4.0,moderate
1.79475,0.0,12.8,20.5,46.1,5.0,healthy
0.52,1.8,0.1,0.5,0.5,1.0,unhealthy
3.38,5.88,11.8,0.0,29.4,0.0,healthy
1.8589744,17.948719,1.2820513,15.384616,41.025642,0.0,healthy
1.74,28.666668,1.6666666,13.666666,25.0,7.0,moderate
0.9,0.0,18.7,0.0,24.3,1.0,healthy
0.56,0.0,0.0,0.0,21.18,1.0,healthy
0.65,33.0,21.0,4.0,8.0,4.0,moderate
0.6,31.0,10.0,2.5,9.1,3.0,healthy
0.58,28.0,6.5,1.8,6.6,6.0,moderate
0.6,0.003,0.0,5.0,20.0,4.0,healthy
0.88,40.0,2.4,15.0,25.3,5.0,moderate
0.68,27.0,8.8,5.0,9.1,3.0,moderate
0.5,39.0,15.0,2.4,6.3,4.0,moderate
0.168,8.8,0.8,1.04,9.6,6.0,healthy
5.44,0.0,63.0,0.0,88.2,0.0,moderate
5.94,25.0,27.5,0.0,25.0,4.0,moderate
